filename,NIMA mean score,NIMA standard deviation score,White space,Filesize,GPT4-Aesthetic,GPT4-Level of Detail,GPT4-Usefulness for Designers,GPT4-Overall AVG,rate my img,humans_o
1-long_img2img-kreaAI.png,5.2165,1.6112,0.4042,549857,5,1,3,6,4,5.393162393
1-long_img2img-lora.png,4.7988,1.6207,0.8464,363733,4,1,2,5,3,3.025641026
1-long_img2img-stable_diffusion1.5.jpeg,5.113,1.6337,0.7904,457227,3,1,2,6.33,4,3.871794872
1-long_text2img-kreaAI.png,5.653,1.6092,0.5042,490627,6,1,3,3.67,6,4.717948718
1-long_text2img-lora.png,6.4106,1.733,0.3471,1226752,5,4,4,5.33,5,6.017094017
1-long_text2img-stable_diffusion1.5.jpg,5.4248,1.6518,0.4131,1494666,5,7,6,5,4,4.982905983
1-short_img2img-kreaAI.png,5.9786,1.579,0.749,568414,5,1,3,6,7,5.452991453
1-short_img2img-lora.png,5.4425,1.6071,0.8295,470386,4,1,2,5.33,6,4.427350427
1-short_img2img-stable_diffusion1.5.jpeg,5.0807,1.7404,0.7662,426916,3,1,2,7,5,4.606837607
1-short_text2img-kreaAI.png,5.4977,1.698,0.7841,673090,3,5,4,1.67,8,6.675213675
1-short_text2img-lora.png,4.7236,1.627,0.5854,953871,6,2,4,4.33,4,5.435897436
1-short_text2img-stable_diffusion.jpg,6.3815,1.7117,0.8151,1131199,6,7,6,4.67,6,5.641025641
2-long_img2img-kreaAI.png,4.89,1.6843,0.9347,299731,5,1,3,7.33,7,5.58974359
2-long_img2img-lora.png,4.7914,1.8351,0.9677,486990,6,1,3,8,6,3.111111111
2-long_img2img-stable_diffusion1.5.jpeg,5.0062,1.8918,0.8556,752918,6,3,4,6.33,7.5,6.299145299
2-long_text2img-kreaAI.png,5.7242,1.6569,0.5708,926068,5,2,3,3.33,8.5,6.282051282
2-long_text2img-lora.png,5.4871,1.7045,0.9228,1391655,8,4,6,6.33,4,3.487179487
2-long_text2img-stable_diffusion1.5.jpg,4.9903,1.6103,0.392,1318700,7,4,5,4.67,7,5.35042735
2-short_img2img-kreaAI.png,5.2833,1.6318,0.7682,266729,5,1,3,8.67,6,4.085470085
2-short_img2img-lora.png,4.2272,1.9273,0.867,447556,4,2,3,8.33,3,2.017094017
2-short_img2img-stable_diffusion1.5.jpeg,5.4007,1.7332,0.907,509261,6,2,4,6.33,5,4.555555556
2-short_text2img-kreaAI.png,5.5646,1.4759,0.6774,812666,4,1,2,2.33,7,3.863247863
2-short_text2img-lora.png,5.37,1.7074,0.1491,1896288,7,6,6,6,4,3.957264957
2-short_text2img-stable_diffusion1.5.jpg,5.6021,1.6959,0.9791,2019746,8,9,8,5.33,6,2.88034188
3-long_img2img-kreaAI.png,5.4501,1.5436,0.1967,693702,8,1,4,7,8.5,6.52991453
3-long_img2img-lora.png,4.4959,1.5782,0.917,902531,9,2,5,6.33,5,5.145299145
3-long_img2img-stable_diffusion1.5.jpeg,5.9509,1.7869,0.8857,1035781,8,2,5,6.67,7,6.068376068
3-long_text2img-kreaAI.png,5.4269,1.5701,0.5825,731372,6,3,4,4.67,8,6.145299145
3-long_text2img-lora.png,6.417,1.746,0.4464,1360549,8,3,5,4.67,6,5.632478632
3-long_text2img-stable_diffusion1.5.jpg,5.9651,1.5991,0.2919,1496700,5,4,4,4.67,6.5,4.692307692
3-short_img2img-kreaAI.png,5.6827,1.5281,0.699,775067,8,2,5,7.67,7,6.384615385
3-short_img2img-lora.png,5.3985,1.781,0.9173,944523,8,1,4,6,5,5.324786325
3-short_img2img-stable_diffusion1.5.jpeg,5.4735,1.802,0.8791,1200813,9,3,6,7.67,6,4.982905983
3-short_text2img-kreaAI.jpg,5.9651,1.5991,0.2919,1496700,5,4,4,6,6,4.487179487
3-short_text2img-lora.png,6.2436,1.7556,0.158,1503462,6,6,6,5.67,6,5.982905983
3-short_text2img-stable_diffusion1.5.jpg,5.8905,1.6236,0.2318,1385727,6,4,5,5,5,5.478632479
4-long_img2img-kreaAI.png,5.3757,1.6569,0.147,420111,3,2,2,7.33,7,5.299145299
4-long_img2img-lora.png,4.0806,1.7941,0.7796,668788,3,3,3,6,5,3.888888889
4-long_img2img-stable_diffusion1.5.jpeg,5.2708,1.7064,0.174,812464,4,4,4,7.33,6,5.11965812
4-long_text2img-kreaAI.png,5.1553,1.623,0.4984,369761,7,1,4,2.67,7,3.358974359
4-long_text2img-lora.png,4.9366,1.7467,0.0304,1377571,7,2,4,5.33,6,4.384615385
4-long_text2img-stable_diffusion1.5.jpg,5.9667,1.5852,0.1813,1256251,6,2,4,5.33,,4.871794872
4-short_img2img-kreaAI.png,5.3869,1.534,0.1667,662577,4,2,3,6,7,6.111111111
4-short_img2img-lora.png,5.0705,1.8028,0.7232,630617,3,1,2,6,5,3.367521368
4-short_img2img-stable_diffusion1.5.jpeg,6.0002,1.6784,0.0865,997179,4,6,5,5.33,7,5.042735043
4-short_text2img-kreaAI.png,5.5038,1.6061,0.4692,775830,7,2,4,3.33,8,6.299145299
4-short_text2img-lora.png,5.4255,1.7287,0.2919,1007685,6,3,4,5,4,4.735042735
4-short_text2img-stable_diffusion1.5.jpg,5.5274,1.7034,0.7116,1212172,5,3,4,4.67,7,4.641025641
5-long_img2img-kreaAI.png,5.0917,1.798,0.6524,348984,6,1,3,8,5,5.58974359
5-long_img2img-lora.png,4.1416,1.9801,0.9411,538899,3,2,2,7.67,4,4.444444444
5-long_img2img-stable_diffusion1.5.jpeg,,,,543055,5,2,3,9,5,4.786324786
5-long_text2img-kreaAI.png,6.4188,1.7568,0.4514,480571,6,1,3,3.67,7,5.982905983
5-long_text2img-lora.png,3.937,1.836,0.4109,949219,3,6,4,7.67,5,4.487179487
5-long_text2img-stable_diffusion1.5.jpg,5.5125,1.6776,0.7775,1130154,6,3,4,6.33,6,4.88034188
5-short_img2img-kreaAI.png,5.1018,1.8225,0.2182,242215,5,3,4,7.67,5,4.564102564
5-short_img2img-lora.png,4.3515,1.8821,0.8721,691108,5,3,4,8.67,5,5.017094017
5-short_img2img-stable_diffusion1.5.jpeg,,,,655057,5,2,3,8.67,6,4.606837607
